,year_quarter,gdp_s21,gdp_2,gdp_per_capita,schooling,rule_of_law,government_effectiveness,corruption_perceptions,fiscal_freedom,business_freedom,economic_freedom,usd_avg_q,eur_avg_q,interest_rate_avg_q,tax_burden,direct_tax_share,gov_expenditure_share,deflated_tax_revenue,cash_demand,deflated_M1,unemployment_rate,employment_rate,lfp_rate,electricity_consumptions,electricity
0,2010Q1,1341048000000.0,217074000000.0,29176.74907370945,82.35150201096829,33.8,33.8,24,78.0,39.0,46.0,7.987705555555555,11.072077855555555,10.25,29.376081940268246,71.52358032392077,33.71562128777052,10322031169.624876,0.32210357197006073,36833725264.42633,12.222222222222223,91.1111111111111,72.0,0.014893619457445297,32330175.501054805
1,2010Q2,1364544000000.0,255545000000.0,29687.94397220367,82.2037517026007,33.8,33.8,24,78.0,39.0,46.0,7.922430769230768,10.101016351648353,10.058333333333334,25.64621233011491,70.70465903297243,32.905972432544495,12273557606.417196,0.31179001648225035,46670472910.88488,12.222222222222223,91.1111111111111,72.0,0.013100775309647573,33478376.265038893
2,2010Q3,1380542000000.0,300446000000.0,30036.007301541027,82.0560013942331,33.8,33.8,24,78.0,39.0,46.0,7.900627173913044,10.175620510869566,8.147833333333333,23.71194723443954,69.7285462893253,21.053212767395937,15504238805.231499,0.31531486311874446,59043320771.35472,12.222222222222223,91.1111111111111,72.0,0.01123537875525762,33756246.05502131
3,2010Q4,1399885000000.0,306281000000.0,30456.846717678825,81.9082510858655,33.8,33.8,24,78.0,39.0,46.0,7.931368478260868,10.785121010869569,7.75,25.28820057463758,70.7230415580561,33.90319652930113,16945940618.105,0.3026794459995639,60467793584.13955,12.222222222222223,91.1111111111111,72.0,0.011258479036859937,34482582.17888498
4,2011Q1,1428757000000.0,258591000000.0,31210.218770820364,82.63071480514373,34.599999999999994,33.4,23,77.0,47.0,46.0,7.944952222222224,10.849499677777777,7.75,28.247541484429078,50.38167938931297,32.67897954685198,13220536976.966692,0.2944145354944933,51891056924.640366,11.829436038514443,91.47180192572215,72.7,0.013459246666540461,34804400.54747365
5,2011Q2,1431777000000.0,310277000000.0,31276.18860382057,83.35317852442195,34.599999999999994,33.4,23,77.0,47.0,46.0,7.970972527472528,11.476875923076925,7.75,25.99612604221389,52.69575998016365,33.22508597156734,17479637415.603127,0.29185852503712767,65148346101.374374,11.829436038514443,91.47180192572215,72.7,0.011208921313017374,34778704.782390915
6,2011Q3,1456604000000.0,368488000000.0,31818.51742630274,84.07564224370017,34.599999999999994,33.4,23,77.0,47.0,46.0,7.97170652173913,11.277828434782608,7.75,24.07560083367708,48.36280387800581,26.988422960856255,22443073657.356426,0.29345555477978064,78701690637.73874,11.829436038514443,91.47180192572215,72.7,0.009598886010705162,35370743.08312724
7,2011Q4,1468721000000.0,362635000000.0,32083.2049979794,84.7981059629784,34.599999999999994,33.4,23,77.0,47.0,46.0,7.9827695652173905,10.764995043478262,7.75,25.444482744357273,52.527565660134435,35.79626897569182,22782100229.38325,0.28319928727795735,72796853173.04648,11.829436038514443,91.47180192572215,72.7,0.009616733516347913,34873641.58700825
8,2012Q1,1450569000000.0,292324000000.0,31787.301462080573,84.56855446952375,36.6,36.0,26,78.0,46.0,46.0,7.988154945054946,10.457435131868133,7.7258,28.584994731872854,52.49925802529416,33.866429030801434,16839479748.429754,0.27574687942490783,60465105668.5229,11.095890410958903,91.91780821917807,73.0,0.011581303272504388,33854928.978315726
9,2012Q2,1458445000000.0,346005000000.0,31959.893587181374,84.3390029760691,36.6,36.0,26,78.0,46.0,46.0,7.990007692307692,10.262790648351649,7.5,26.77495989942342,50.10723996601999,34.08158841635237,21978776994.333008,0.2803294292648396,74407356946.28526,11.095890410958903,91.91780821917807,73.0,0.010112731028296646,34990554.99445781
10,2012Q3,1445681000000.0,387109000000.0,31680.187405771187,84.10945148261445,36.6,36.0,26,78.0,46.0,46.0,7.992956521739131,9.98611320652174,7.5,22.58330341066728,49.34661755622155,30.69822711432697,23408928385.9994,0.27789581581415446,85317503095.66086,11.095890410958903,91.91780821917807,73.0,0.00902465372611949,34935246.7926439
11,2012Q4,1444974000000.0,379231000000.0,31664.69443567897,83.8798999891598,36.6,36.0,26,78.0,46.0,46.0,7.992999999999999,10.372481402173912,7.5,25.56270452573761,51.455978180700356,41.31924869011236,25442186387.22911,0.26289708820969143,79278250942.9535,11.095890410958903,91.91780821917807,73.0,0.008940946081565737,33906839.23458256
12,2013Q1,1444395000000.0,303753000000.0,31708.010449366673,83.29292780609094,35.6,35.199999999999996,25,78.0,48.0,46.0,7.992999999999999,10.548974966666668,7.5,28.85347634426656,55.92966033912461,36.90590710215208,18431187663.277702,0.25643590314843756,69363409078.92639,10.533515731874147,92.20246238030097,73.1,0.011125769449533147,33794858.47604042
13,2013Q2,1431923000000.0,354814000000.0,31434.21948060501,82.7059556230221,35.6,35.199999999999996,25,78.0,48.0,46.0,7.993,10.435608142857143,7.383333333333333,24.39458420468189,52.36773211145693,35.8027022609029,21447429572.400196,0.26110651585581823,87284101001.27774,10.533515731874147,92.20246238030097,73.1,0.009684631315294033,34362427.75504737
14,2013Q3,1408739000000.0,398000000000.0,30925.273856826116,82.11898343995325,35.6,35.199999999999996,25,78.0,48.0,46.0,7.992999999999999,10.583157782608696,6.731166666666667,22.15535175879397,52.855861362716226,30.12844221105528,24912324710.25506,0.26367588661318947,104575701976.44844,10.533515731874147,92.20246238030097,73.1,0.008769889932257375,34904161.93038435
15,2013Q4,1513061000000.0,408631000000.0,33215.397449125194,81.5320112568844,35.6,35.199999999999996,25,78.0,48.0,46.0,7.992999999999999,10.875501782608696,6.5,22.414134023116212,52.491563044881,35.92404883623612,24735924582.08889,0.25971757753596425,100411693760.45532,10.533515731874147,92.20246238030097,73.1,0.008442382452268147,34498191.83852785
16,2014Q1,1441447000000.0,316905000000.0,31731.621839379037,82.09506280799442,35.4,39.6,26,79.0,60.0,49.0,8.862673333333333,12.147707166666668,6.5,26.354806645524686,57.42597255497805,35.22894873858096,18361972745.78947,0.27215665203645495,85381416672.45863,13.585434173669467,90.3361344537815,71.4,0.010597437753479324,33583810.11266365
17,2014Q2,1383366000000.0,382391000000.0,30453.042517313796,82.65811435910445,35.4,39.6,26,79.0,60.0,49.0,11.696175450549449,16.042706483516483,9.033333333333331,23.65440086194497,47.28027921899167,34.67633913978101,25002888208.398933,0.30205104709468905,117390787729.9393,13.585434173669467,90.3361344537815,71.4,0.008601311791185114,32890642.171430673
18,2014Q3,1324191000000.0,440476000000.0,29150.380177078427,83.22116591021448,35.4,39.6,26,79.0,60.0,49.0,12.577152673913044,16.67308975,11.983866666666666,19.756104759396653,50.06923624094901,27.204002034163043,28946441977.328045,0.28649440252365527,147242107425.4557,13.585434173669467,90.3361344537815,71.4,0.006901091655859396,30397652.482063234
19,2014Q4,1269188000000.0,447143000000.0,27939.55910906041,83.7842174613245,35.4,39.6,26,79.0,60.0,49.0,14.433596282608695,18.025858836956523,13.3,23.822132964174774,46.08492381640834,35.571864034548234,37527320788.56718,0.2914302382079527,153445381118.0635,13.585434173669467,90.3361344537815,71.4,0.007052492208050319,31534725.233842436
20,2015Q1,1239000000000.0,375991000000.0,28861.67593392796,82.0543270079166,36.0,39.0,27,79.0,59.0,47.0,21.11566568888889,23.78934436666667,20.5006,29.955796814285446,49.69178139963118,33.518967209321495,34179402679.66102,0.2500603709374163,135771053527.8757,13.286713286713287,90.4895104895105,71.5,0.008281567059457944,31137946.80252652
21,2015Q2,1212057000000.0,456715000000.0,28234.056777602036,80.32443655450871,36.0,39.0,27,79.0,59.0,47.0,21.611451373626373,23.87087540659341,30.0,26.07440088457791,50.17579776581067,34.85900397403194,44872663146.6177,0.2941584186766745,168008980026.09573,13.286713286713287,90.4895104895105,71.5,0.0067246025743692445,30712268.647530492
22,2015Q3,1216781000000.0,566997000000.0,28344.09919657853,78.5945461011008,36.0,39.0,27,79.0,59.0,47.0,21.721891652173912,24.132549565217392,28.537633333333332,22.50798505106729,49.22598096217195,26.094564874240955,59468326955.46693,0.29145071869394823,206852280197.88968,13.286713286713287,90.4895104895105,71.5,0.005184958539759732,29398559.371681485
