,year_quarter,tax_revenue,total_expense,indirect_tax,employment,employed_people_thousands,unemployment,unemployed_people_thousands,lfp_rate,labour_force_people_thousands,informal_employed_15_70_thousands,Population,M0,M1,M2,schooling,rule_of_law,government_effectiveness,corruption_perceptions,fiscal_freedom,business_freedom,Financial freedom index (0-100),economic_freedom,electricity,log_electricity,dlog_electricity,usd_avg_q,eur_avg_q,interest_rate_avg_q,cpi_base_2010,nominal_gdp,gdp_s21,gdp_2,2021_deflator,tax_burden,direct_tax_share,gov_expenditure_share,deflated_tax_revenue,gdp_per_capita,cash_demand,deflated_M1,unemployment_rate,employment_rate,electricity_consumptions
0,2010Q1,63767836111.01789,73187847754.21498,18158796629.32786,65.6,0.0,8.8,0.0,72.0,0.0,,45962900.0,153982228700.0,227552786600.0,478051912800.0,82.35150201096829,33.8,33.8,24,78.0,39.0,30.0,46.0,32330175.501054805,17.29151157811419,,7.987705555555555,11.072077855555555,10.25,94.76666666666668,270832310000.0,1341048000000.0,217074000000.0,617.7837972304375,29.376081940268246,71.52358032392077,33.71562128777052,10322031169.624876,29176.74907370945,0.32210357197006073,36833725264.42633,12.222222222222223,91.1111111111111,0.014893619457445297
1,2010Q2,65537613298.99215,84089567252.74583,19199467277.591755,65.6,0.0,8.8,0.0,72.0,0.0,,45962900.0,162128951300.0,249208216900.0,519994043200.0,82.2037517026007,33.8,33.8,24,78.0,39.0,30.0,46.0,33478376.265038893,17.3264103037547,0.0348987256405095,7.922430769230768,10.101016351648353,10.058333333333334,95.16666666666669,262626560000.0,1364544000000.0,255545000000.0,533.9740554501165,25.64621233011491,70.70465903297243,32.905972432544495,12273557606.417196,29687.94397220367,0.31179001648225035,46670472910.88488,12.222222222222223,91.1111111111111,0.013100775309647573
2,2010Q3,71241596987.98422,63253535631.1304,21565867054.963074,65.6,0.0,8.8,0.0,72.0,0.0,,45962900.0,175102963000.0,271302610600.0,555327336200.0,82.0560013942331,33.8,33.8,24,78.0,39.0,30.0,46.0,33756246.05502131,17.334676026456716,0.008265722702017,7.900627173913044,10.175620510869566,8.147833333333333,96.16666666666669,266800969999.99997,1380542000000.0,300446000000.0,459.4975469801562,23.71194723443954,69.7285462893253,21.053212767395937,15504238805.231499,30036.007301541027,0.31531486311874446,59043320771.35472,12.222222222222223,91.1111111111111,0.01123537875525762
3,2010Q4,77452953602.00574,103839049361.90878,22675869038.11731,65.6,0.0,8.8,0.0,72.0,0.0,,45962900.0,173332336300.0,276373517200.0,572659751400.0,81.9082510858655,33.8,33.8,24,78.0,39.0,30.0,46.0,34482582.17888498,17.355964890134512,0.0212888636777961,7.931368478260868,10.785121010869569,7.75,99.36666666666667,279086160000.0,1399885000000.0,306281000000.0,457.05904055426225,25.28820057463758,70.7230415580561,33.90319652930113,16945940618.105,30456.846717678825,0.3026794459995639,60467793584.13955,12.222222222222223,91.1111111111111,0.011258479036859937
4,2011Q1,73045600000.0,84504900000.0,36244000000.0,66.5,0.0,8.6,0.0,72.7,0.0,,45778500.0,177560422600.0,286706462400.0,603096658600.0,82.63071480514373,34.599999999999994,33.4,23,77.0,47.0,30.0,46.0,34804400.54747365,17.365254389263868,0.0092894991293555,7.944952222222224,10.849499677777777,7.75,102.06666666666666,303400030000.0,1428757000000.0,258591000000.0,552.5161355190243,28.247541484429078,50.38167938931297,32.67897954685198,13220536976.966692,31210.218770820364,0.2944145354944933,51891056924.640366,11.829436038514443,91.47180192572215,0.013459246666540461
5,2011Q2,80660000000.0,103089800000.0,38155600000.0,66.5,0.0,8.6,0.0,72.7,0.0,,45778500.0,184683457500.0,300627837500.0,632784180200.0,83.35317852442195,34.599999999999994,33.4,23,77.0,47.0,30.0,46.0,34778704.782390915,17.36451582589769,-0.0007385633661769,7.970972527472528,11.476875923076925,7.75,105.36666666666667,321965730000.0,1431777000000.0,310277000000.0,461.4512193942832,25.99612604221389,52.69575998016365,33.22508597156734,17479637415.603127,31276.18860382057,0.29185852503712767,65148346101.374374,11.829436038514443,91.47180192572215,0.011208921313017374
6,2011Q3,88715700000.0,99449100000.0,45810300000.0,66.5,0.0,8.6,0.0,72.7,0.0,,45778500.0,193977278000.0,311101575600.0,661010755600.0,84.07564224370017,34.599999999999994,33.4,23,77.0,47.0,30.0,46.0,35370743.08312724,17.381395569813886,0.0168797439161956,7.97170652173913,11.277828434782608,7.75,104.3,332590610000.0,1456604000000.0,368488000000.0,395.2921126332472,24.07560083367708,48.36280387800581,26.988422960856255,22443073657.356426,31818.51742630274,0.29345555477978064,78701690637.73874,11.829436038514443,91.47180192572215,0.009598886010705162
7,2011Q4,92270600000.0,129809800000.0,43803100000.0,66.5,0.0,8.6,0.0,72.7,0.0,,45778500.0,184164327900.0,294837142000.0,650299404600.0,84.7981059629784,34.599999999999994,33.4,23,77.0,47.0,30.0,46.0,34873641.58700825,17.36724184643704,-0.0141537233768467,7.9827695652173905,10.764995043478262,7.75,104.4,342034630000.0,1468721000000.0,362635000000.0,405.0135811490893,25.444482744357273,52.527565660134435,35.79626897569182,22782100229.38325,32083.2049979794,0.28319928727795735,72796853173.04648,11.829436038514443,91.47180192572215,0.009616733516347913
8,2012Q1,83560800000.0,98999700000.0,39692000000.0,67.1,0.0,8.1,0.0,73.0,0.0,,45633600.0,186466746500.0,300039708900.0,676224321700.0,84.56855446952375,36.6,36.0,26,78.0,46.0,30.0,46.0,33854928.978315726,17.33759515908003,-0.0296466873570082,7.988154945054946,10.457435131868133,7.7258,105.03333333333336,348809270000.0,1450569000000.0,292324000000.0,496.2196056430536,28.584994731872854,52.49925802529416,33.866429030801434,16839479748.429754,31787.301462080573,0.27574687942490783,60465105668.5229,11.095890410958903,91.91780821917807,0.011581303272504388
9,2012Q2,92642700000.0,117924000000.0,46222000000.0,67.1,0.0,8.1,0.0,73.0,0.0,,45633600.0,194800760300.0,313634305000.0,694899428900.0,84.3390029760691,36.6,36.0,26,78.0,46.0,30.0,46.0,34990554.99445781,17.37058872573445,0.0329935666544187,7.990007692307692,10.262790648351649,7.5,105.0,347775750000.0,1458445000000.0,346005000000.0,421.5098047716073,26.77495989942342,50.10723996601999,34.08158841635237,21978776994.333008,31959.893587181374,0.2803294292648396,74407356946.28526,11.095890410958903,91.91780821917807,0.010112731028296646
