year_quarter,employed_percent_of_population_respective_age_group,employed_people_thousands,unemployed_percent_of_population_respective_age_group,unemployed_people_thousands,labour_force_percent_of_population_respective_age_group,labour_force_people_thousands,informal_employed_15_70_thousands,Population
2010Q1,65.6,0.0,8.8,0.0,72.0,0.0,,45962900.0
2010Q2,65.6,0.0,8.8,0.0,72.0,0.0,,45962900.0
2010Q3,65.6,0.0,8.8,0.0,72.0,0.0,,45962900.0
2010Q4,65.6,0.0,8.8,0.0,72.0,0.0,,45962900.0
2011Q1,66.5,0.0,8.6,0.0,72.7,0.0,,45778500.0
2011Q2,66.5,0.0,8.6,0.0,72.7,0.0,,45778500.0
2011Q3,66.5,0.0,8.6,0.0,72.7,0.0,,45778500.0
2011Q4,66.5,0.0,8.6,0.0,72.7,0.0,,45778500.0
2012Q1,67.1,0.0,8.1,0.0,73.0,0.0,,45633600.0
2012Q2,67.1,0.0,8.1,0.0,73.0,0.0,,45633600.0
2012Q3,67.1,0.0,8.1,0.0,73.0,0.0,,45633600.0
2012Q4,67.1,0.0,8.1,0.0,73.0,0.0,,45633600.0
2013Q1,67.4,0.0,7.7,0.0,73.1,0.0,,45553000.0
2013Q2,67.4,0.0,7.7,0.0,73.1,0.0,,45553000.0
2013Q3,67.4,0.0,7.7,0.0,73.1,0.0,,45553000.0
2013Q4,67.4,0.0,7.7,0.0,73.1,0.0,,45553000.0
2014Q1,64.5,0.0,9.7,0.0,71.4,0.0,,45426200.0
2014Q2,64.5,0.0,9.7,0.0,71.4,0.0,,45426200.0
2014Q3,64.5,0.0,9.7,0.0,71.4,0.0,,45426200.0
2014Q4,64.5,0.0,9.7,0.0,71.4,0.0,,45426200.0
2015Q1,64.7,0.0,9.5,0.0,71.5,0.0,,42928900.0
2015Q2,64.7,0.0,9.5,0.0,71.5,0.0,,42928900.0
2015Q3,64.7,0.0,9.5,0.0,71.5,0.0,,42928900.0
2015Q4,64.7,0.0,9.5,0.0,71.5,0.0,,42928900.0
2016Q1,64.2,0.0,9.7,0.0,71.1,0.0,,42760500.0
2016Q2,64.2,0.0,9.7,0.0,71.1,0.0,,42760500.0
2016Q3,64.2,0.0,9.7,0.0,71.1,0.0,,42760500.0
2016Q4,64.2,0.0,9.7,0.0,71.1,0.0,,42760500.0
2017Q1,73.7,2424.4,9.8,264.6,81.8,2689.0,3695.6,42584500.0
2017Q2,73.6,2420.0,10.5,284.8,82.3,2704.8,3695.6,42584500.0
2017Q3,74.2,2440.1,10.1,274.5,82.6,2714.6,3695.6,42584500.0
2017Q4,74.6,2451.5,9.8,267.2,82.7,2718.7,3695.6,42584500.0
2018Q1,74.4,2457.7,9.5,256.8,82.1,2714.5,3541.3,42386400.0
2018Q2,75.2,2488.8,9.6,264.7,83.2,2753.5,3541.3,42386400.0
2018Q3,75.8,2508.9,8.9,245.4,83.3,2754.3,3541.3,42386400.0
2018Q4,75.9,2510.1,8.9,244.6,83.3,2754.7,3541.3,42386400.0
2019Q1,66.3,15570.9,9.6,1645.1,73.3,17216.0,3460.4,42153200.0
2019Q2,67.2,15781.2,8.8,1527.5,73.7,17308.7,3460.4,42153200.0
2019Q3,67.8,15924.0,8.4,1461.1,74.0,17385.1,3460.4,42153200.0
2019Q4,67.6,15894.9,8.6,1486.9,74.0,17381.8,3460.4,42153200.0
2020Q1,67.9,15781.3,8.9,1548.6,74.6,17329.9,3404.1,41902400.0
2020Q2,66.1,15362.0,9.6,1630.1,73.1,16992.1,3291.6,41902400.0
2020Q3,65.9,15306.8,9.7,1643.0,73.0,16949.8,3275.5,41902400.0
2020Q4,65.6,15244.5,9.9,1673.3,72.8,16917.8,3237.8,41902400.0
2021Q1,64.6,14813.7,10.9,1803.5,72.5,16617.2,2934.9,41588400.0
2021Q2,65.2,14935.6,10.3,1710.6,72.6,16646.2,3015.4,41588400.0
2021Q3,65.6,15042.5,10.0,1678.2,72.9,16720.7,3079.3,41588400.0
2021Q4,65.3,14957.3,10.3,1709.5,72.7,16666.8,3018.4,41588400.0
2022Q1,,,,,,,,41167300.0
2022Q2,,,,,,,,41167300.0
2022Q3,,,,,,,,41167300.0
2022Q4,,,,,,,,41167300.0
