year_quarter,school_enrollment_q_interp,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Fiscal freedom index (0-100),Business freedom index (0-100),Financial freedom index (0-100),Economic freedom overall index (0-100)
2010Q1,82.35150201096829,-0.81,-0.81,24,78.0,39.0,30.0,46.0
2010Q2,82.2037517026007,-0.81,-0.81,24,78.0,39.0,30.0,46.0
2010Q3,82.0560013942331,-0.81,-0.81,24,78.0,39.0,30.0,46.0
2010Q4,81.9082510858655,-0.81,-0.81,24,78.0,39.0,30.0,46.0
2011Q1,82.63071480514373,-0.77,-0.83,23,77.0,47.0,30.0,46.0
2011Q2,83.35317852442195,-0.77,-0.83,23,77.0,47.0,30.0,46.0
2011Q3,84.07564224370017,-0.77,-0.83,23,77.0,47.0,30.0,46.0
2011Q4,84.7981059629784,-0.77,-0.83,23,77.0,47.0,30.0,46.0
2012Q1,84.56855446952375,-0.67,-0.7,26,78.0,46.0,30.0,46.0
2012Q2,84.3390029760691,-0.67,-0.7,26,78.0,46.0,30.0,46.0
2012Q3,84.10945148261445,-0.67,-0.7,26,78.0,46.0,30.0,46.0
2012Q4,83.8798999891598,-0.67,-0.7,26,78.0,46.0,30.0,46.0
2013Q1,83.29292780609094,-0.72,-0.74,25,78.0,48.0,30.0,46.0
2013Q2,82.7059556230221,-0.72,-0.74,25,78.0,48.0,30.0,46.0
2013Q3,82.11898343995325,-0.72,-0.74,25,78.0,48.0,30.0,46.0
2013Q4,81.5320112568844,-0.72,-0.74,25,78.0,48.0,30.0,46.0
2014Q1,82.09506280799442,-0.73,-0.52,26,79.0,60.0,30.0,49.0
2014Q2,82.65811435910445,-0.73,-0.52,26,79.0,60.0,30.0,49.0
2014Q3,83.22116591021448,-0.73,-0.52,26,79.0,60.0,30.0,49.0
2014Q4,83.7842174613245,-0.73,-0.52,26,79.0,60.0,30.0,49.0
2015Q1,82.0543270079166,-0.7,-0.55,27,79.0,59.0,30.0,47.0
2015Q2,80.32443655450871,-0.7,-0.55,27,79.0,59.0,30.0,47.0
2015Q3,78.5945461011008,-0.7,-0.55,27,79.0,59.0,30.0,47.0
2015Q4,76.8646556476929,-0.7,-0.55,27,79.0,59.0,30.0,47.0
2016Q1,76.90845110315563,-0.65,-0.52,29,79.0,57.0,30.0,47.0
2016Q2,76.95224655861836,-0.65,-0.52,29,79.0,57.0,30.0,47.0
2016Q3,76.99604201408107,-0.65,-0.52,29,79.0,57.0,30.0,47.0
2016Q4,77.0398374695438,-0.65,-0.52,29,79.0,57.0,30.0,47.0
2017Q1,77.82963427574262,-0.58,-0.48,30,79.0,62.0,30.0,48.0
2017Q2,78.61943108194146,-0.58,-0.48,30,79.0,62.0,30.0,48.0
2017Q3,79.40922788814028,-0.58,-0.48,30,79.0,62.0,30.0,48.0
2017Q4,80.1990246943391,-0.58,-0.48,30,79.0,62.0,30.0,48.0
2018Q1,80.52293642601548,-0.52,-0.36,32,80.0,63.0,30.0,52.0
2018Q2,80.84684815769185,-0.52,-0.36,32,80.0,63.0,30.0,52.0
2018Q3,81.17075988936823,-0.52,-0.36,32,80.0,63.0,30.0,52.0
2018Q4,81.4946716210446,-0.52,-0.36,32,80.0,63.0,30.0,52.0
2019Q1,82.24134276857095,-0.59,-0.37,30,82.0,66.0,30.0,52.0
2019Q2,82.9880139160973,-0.59,-0.37,30,82.0,66.0,30.0,52.0
2019Q3,83.73468506362366,-0.59,-0.37,30,82.0,66.0,30.0,52.0
2019Q4,84.48135621115,-0.59,-0.37,30,82.0,66.0,30.0,52.0
2020Q1,83.89466696288078,-0.57,-0.38,33,81.0,61.0,30.0,55.0
2020Q2,83.30797771461155,-0.57,-0.38,33,81.0,61.0,30.0,55.0
2020Q3,82.72128846634233,-0.57,-0.38,33,81.0,61.0,30.0,55.0
2020Q4,82.1345992180731,-0.57,-0.38,33,81.0,61.0,30.0,55.0
2021Q1,80.5779352912525,-0.57,-0.4,32,89.0,64.0,30.0,56.0
2021Q2,79.0212713644319,-0.57,-0.4,32,89.0,64.0,30.0,56.0
2021Q3,77.4646074376113,-0.57,-0.4,32,89.0,64.0,30.0,56.0
2021Q4,75.9079435107907,-0.57,-0.4,32,89.0,64.0,30.0,56.0
2022Q1,76.73862057011081,-0.74,-0.64,33,74.0,61.0,30.0,54.0
2022Q2,77.56929762943093,-0.74,-0.64,33,74.0,61.0,30.0,54.0
2022Q3,78.39997468875104,-0.74,-0.64,33,74.0,61.0,30.0,54.0
2022Q4,79.23065174807115,-0.74,-0.64,33,74.0,61.0,30.0,54.0
2023Q1,80.06132880739126,-0.75,-0.58,36,,,,
2023Q2,80.89200586671137,-0.75,-0.58,36,,,,
2023Q3,81.7226829260315,-0.75,-0.58,36,,,,
2023Q4,82.5533599853516,-0.75,-0.58,36,,,,
2024Q1,83.71302032470706,-0.72,-0.6,35,,,,
2024Q2,84.8726806640625,-0.72,-0.6,35,,,,
2024Q3,86.03234100341794,-0.72,-0.6,35,,,,
2024Q4,87.1920013427734,-0.72,-0.6,35,,,,
