quarter_end,M0,M1,M2
2010Q1,153982228700.0,227552786600.0,478051912800.0
2010Q2,162128951300.0,249208216900.0,519994043200.0
2010Q3,175102963000.0,271302610600.0,555327336200.0
2010Q4,173332336300.0,276373517200.0,572659751400.0
2011Q1,177560422600.0,286706462400.0,603096658600.0
2011Q2,184683457500.0,300627837500.0,632784180200.0
2011Q3,193977278000.0,311101575600.0,661010755600.0
2011Q4,184164327900.0,294837142000.0,650299404600.0
2012Q1,186466746500.0,300039708900.0,676224321700.0
2012Q2,194800760300.0,313634305000.0,694899428900.0
2012Q3,200758569300.0,318623160900.0,722423864900.0
2012Q4,190944901600.0,302071854300.0,726310446800.0
2013Q1,201436144600.0,329834310300.0,785522394200.0
2013Q2,213919334900.0,352252480900.0,819279956300.0
2013Q3,225226020000.0,370150426700.0,854177539300.0
2013Q4,227806581000.0,371800029300.0,877131933700.0
2014Q1,253072080300.0,388358615100.0,929876519300.0
2014Q2,286747493300.0,424681607200.0,949334544800.0
2014Q3,289686040700.0,442649936600.0,1011140316000.0
2014Q4,282441347300.0,435545309600.0,969155942900.0
2015Q1,283871688700.0,447405218000.0,1135212619400.0
2015Q2,283413863700.0,445872065300.0,963473576500.0
2015Q3,276317079300.0,443906977200.0,948074791300.0
2015Q4,272974609000.0,447551272500.0,969801630600.0
2016Q1,269287591900.0,452853310600.0,1015239163000.0
2016Q2,281531132500.0,474289230900.0,1020306173100.0
2016Q3,289252985200.0,484347946100.0,1047107404500.0
2016Q4,289438437200.0,491980280400.0,1044699510800.0
2017Q1,291614990500.0,506390679200.0,1059636620100.0
2017Q2,300937921100.0,525427102199.99994,1088392385100.0001
2017Q3,308840385600.0,537610409300.00006,1104321381500.0
2017Q4,310143277500.0,551462856000.0,1129463617900.0
2018Q1,321228414500.0,584899898200.0,1170035586200.0
2018Q2,332886410800.0,619489323600.0,1196072926700.0
2018Q3,343836800700.0,621514881300.0,1231230125100.0
2018Q4,351510723000.0,624230880900.0,1224887121500.0
2019Q1,343073852100.0,654945215600.0,1251737586100.0
2019Q2,349283391800.0,654680919600.0,1256448331600.0
2019Q3,354980451300.0,673324444900.0,1300078202500.0
2019Q4,359336239500.0,697533487700.0,1328999596600.0
2020Q1,374268039400.0,769790224800.0,1473898889200.0
2020Q2,434893689100.0,838015268500.0,1575518920100.0
2020Q3,470419689400.0,908803252800.0,1672120765900.0
2020Q4,493079894700.0,971282356900.0,1764510899000.0
2021Q1,515457297300.0,1042402998000.0,1837193938800.0
2021Q2,533310011599.99994,1098546074899.9999,1889357026600.0
2021Q3,544383020200.0,1107513241800.0,1899024706800.0
2021Q4,549643660100.0,1174475572400.0,1956030479200.0
2022Q1,634687562800.0,1270163263300.0,2030950830300.0
2022Q2,634444539800.0,1391157256300.0,2119562897700.0
2022Q3,640179174200.0,1394022066600.0,2261911492800.0
2022Q4,641467985100.0,1471239207300.0,2375724143600.0
2023Q1,629358373100.0,1514616508400.0,2517110746200.0
2023Q2,649461584300.0,1546051509100.0,2658843736500.0
2023Q3,680181458500.0,1611746848500.0,2785349719100.0
2023Q4,674050742400.0,1711431115200.0,2859921175300.0
2024Q1,713493946800.0,1823842138900.0,3056583234800.0
2024Q2,747795633000.0,1922009514800.0,3218831826800.0
2024Q3,752628123100.0,1936922075300.0,3268492748900.0
2024Q4,745460181300.0,1984123786800.0,3315457909100.0
