year_quarter,nominal_gdp,gdp_s21,gdp_2
2010Q1,270832310000.0,1341048000000.0,217074000000.0
2010Q2,262626560000.0,1364544000000.0,255545000000.0
2010Q3,266800969999.99997,1380542000000.0,300446000000.0
2010Q4,279086160000.0,1399885000000.0,306281000000.0
2011Q1,303400030000.0,1428757000000.0,258591000000.0
2011Q2,321965730000.0,1431777000000.0,310277000000.0
2011Q3,332590610000.0,1456604000000.0,368488000000.0
2011Q4,342034630000.0,1468721000000.0,362635000000.0
2012Q1,348809270000.0,1450569000000.0,292324000000.0
2012Q2,347775750000.0,1458445000000.0,346005000000.0
2012Q3,350793080000.0,1445681000000.0,387109000000.0
2012Q4,357290900000.0,1444974000000.0,379231000000.0
2013Q1,360878970000.0,1444395000000.0,303753000000.0
2013Q2,363028600000.0,1431923000000.0,354814000000.0
2013Q3,366481200000.0,1408739000000.0,398000000000.0
2013Q4,374809230000.0,1513061000000.0,408631000000.0
2014Q1,386937700000.0,1441447000000.0,316905000000.0
2014Q2,394621810000.0,1383366000000.0,382391000000.0
2014Q3,405267580000.0,1324191000000.0,440476000000.0
2014Q4,400087910000.0,1269188000000.0,447143000000.0
2015Q1,375991000000.0,1239000000000.0,375991000000.0
2015Q2,456715000000.0,1212057000000.0,456715000000.0
2015Q3,566997000000.0,1216781000000.0,566997000000.0
2015Q4,588841000000.0,1220834000000.0,588841000000.0
2016Q1,455298000000.0,1236499000000.0,455298000000.0
2016Q2,535701000000.0,1248089000000.0,535701000000.0
2016Q3,671456000000.0,1255579000000.0,671456000000.0
2016Q4,722912000000.0,1267837000000.0,722912000000.0
2017Q1,591765000000.0,1268374000000.0,591765000000.0
2017Q2,664307000000.0,1274370000000.0,664307000000.0
2017Q3,833640000000.0,1285293000000.0,833640000000.0
2017Q4,891515000000.0,1298154000000.0,891515000000.0
2018Q1,706141000000.0,1306924000000.0,706141000000.0
2018Q2,809938000000.0,1319063000000.0,809938000000.0
2018Q3,994728000000.0,1333457000000.0,994728000000.0
2018Q4,1049495000000.0,1345567000000.0,1049495000000.0
2019Q1,820006000000.0,1362369000000.0,820006000000.0
2019Q2,932459000000.0,1376313000000.0,932459000000.0
2019Q3,1111962000000.0,1367118000000.0,1111962000000.0
2019Q4,1112771000000.0,1368945000000.0,1112771000000.0
2020Q1,858415000000.0,1380661000000.0,858415000000.0
2020Q2,879921000000.0,1252647000000.0,879921000000.0
2020Q3,1173113000000.0,1305082000000.0,1173113000000.0
2020Q4,1310577000000.0,1330899000000.0,1310577000000.0
2021Q1,1019715000000.0,1336876000000.0,1019715000000.0
2021Q2,1182310000000.0,1354415000000.0,1182310000000.0
2021Q3,1512884000000.0,1361964000000.0,1512884000000.0
2021Q4,1735940000000.0,1397594000000.0,1735940000000.0
2022Q1,1091508000000.0,1132211000000.0,1091508000000.0
2022Q2,1030900000000.0,856555000000.0,1030900000000.0
2022Q3,1461098000000.0,926588000000.0,1461098000000.0
2022Q4,1655608000000.0,967908000000.0,1655608000000.0
2023Q1,1388161000000.0,1000083000000.0,1388161000000.0
2023Q2,1483162000000.0,1022386000000.0,1483162000000.0
2023Q3,1807595000000.0,1030874000000.0,1807595000000.0
2023Q4,1949043000000.0,1044847000000.0,1949043000000.0
2024Q1,1631877000000.0,1053242000000.0,1629400000000.0
2024Q2,1739266000000.0,1053458000000.0,1742535000000.0
2024Q3,2092488000000.0,1057260000000.0,2092353000000.0
2024Q4,2198745000000.0,1053643000000.0,2194371000000.0
