Country,Code,ContinentCode,Year,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political corruption index,Freedom from corruption index (0-100),Fiscal freedom index (0-100),Business freedom index (0-100),Financial freedom index (0-100),Economic freedom overall index (0-100),Literacy rate,Primary school completion rate,PISA math scores,PISA reading scores,PISA science scores
Ukraine,UKR,EU,2010,-0.81,-0.81,24,0.881,25,78,39,30,46,,100.02,,,
Ukraine,UKR,EU,2011,-0.77,-0.83,23,0.89,22,77,47,30,46,,101.31,,,
Ukraine,UKR,EU,2012,-0.67,-0.7,26,0.89,24,78,46,30,46,99.97,97.31,,,
Ukraine,UKR,EU,2013,-0.72,-0.74,25,0.884,23,78,48,30,46,,98.62,,,
Ukraine,UKR,EU,2014,-0.73,-0.52,26,0.803,22,79,60,30,49,,96.21,,,
Ukraine,UKR,EU,2015,-0.7,-0.55,27,0.783,25,79,59,30,47,,88.58,,,
Ukraine,UKR,EU,2016,-0.65,-0.52,29,0.76,26,79,57,30,47,,86.16,,,
Ukraine,UKR,EU,2017,-0.58,-0.48,30,0.753,29,79,62,30,48,,87.53,,,
Ukraine,UKR,EU,2018,-0.52,-0.36,32,0.744,29,80,63,30,52,,83.91,453.117,465.95,468.988
Ukraine,UKR,EU,2019,-0.59,-0.37,30,0.664,30,82,66,30,52,,89.05,,,
Ukraine,UKR,EU,2020,-0.57,-0.38,33,0.687,38,81,61,30,55,,89.76,,,
Ukraine,UKR,EU,2021,-0.57,-0.4,32,0.667,38,89,64,30,56,100,89.29,,,
Ukraine,UKR,EU,2022,-0.74,-0.64,33,0.595,34,74,61,30,54,,,,,
Ukraine,UKR,EU,2023,-0.75,-0.58,36,0.607,,,,,,,,,,
Ukraine,UKR,EU,2024,-0.72,-0.6,35,0.609,33,,,,,,,,,
