quarter,gdp_official_real,gdp_implied_total,A1_2010_59.49pct_total,A2_2013_53.53pct_total,B1_2017_18_38.4pct_total,B2_2018_23.8pct_official
2010Q1,1341047999999.9978,1415767670341.9187,61.19978157717826,52.94523247879867,41.49071216118854,23.1202808766775
2010Q2,1364543999999.9985,1430242694932.151,60.919542037313626,52.60537340236567,41.068121346799934,22.565007272872993
2010Q3,1380542000000.0005,1255867848378.6428,54.97149584754386,45.391910642569464,32.09868868012487,10.779400413168316
2010Q4,1399884999999.9988,1465396856750.871,60.86918053796426,52.54429775021136,40.99217807685965,22.465219743781894
2011Q1,1428756999999.9998,1472724339864.777,60.26083430041904,51.806528945197364,40.0748145525024,21.25982735751901
2011Q2,1431777000000.0015,1479820314576.482,60.367795042971885,51.93624504163456,40.23610737836434,21.471762036728126
2011Q3,1456603999999.9983,1402430888632.9468,57.45565241824622,48.40455888714508,35.84470449498453,15.701570111615714
2011Q4,1468720999999.9978,1515589188419.5845,60.30464918714525,51.85966522619461,40.14088577383297,21.34664326531167
2012Q1,1450569000000.0005,1500390689481.3965,60.39811394331183,51.97301413379398,40.2818271536402,21.53183666097024
2012Q2,1458444999999.9995,1529071093989.1104,60.92992760034901,52.61796844110699,41.08378239000293,22.585585486129357
2012Q3,1445681000000.0015,1480639203303.3738,60.005058341466125,51.49633795207236,39.68911390923432,20.753026502211636
2012Q4,1444973999999.9983,1594054573467.3699,62.86882559797381,54.96935712483395,44.007568534629335,26.427366267922338
2013Q1,1444395000000.0012,1565769585694.9429,62.21321331127706,54.17426665914695,43.018929564225004,25.128319754684192
2013Q2,1431922999999.9985,1564952424707.7903,62.519932528136415,54.54623882915701,43.48145074772337,25.73606084997665
2013Q3,1408738999999.9995,1497969249955.337,61.477942245016216,53.282570413756225,41.91016811379714,23.67143535167291
2013Q4,1513060999999.998,1569732668141.6687,60.51677860443383,52.1169240979398,40.46076905386927,21.7669617759247
2014Q1,1441447000000.002,1420721052660.6099,58.44036726192827,49.598766804719084,37.329617894189894,17.65270862774101
2014Q2,1383366000000.0002,1424149257955.4734,60.21096301555286,51.74604779816387,39.99961050778984,21.161011151613927
2014Q3,1324190999999.9985,1277279651237.9236,57.53349920729446,48.49896718456801,35.962094560630945,15.855817678252093
2014Q4,1269187999999.9995,1423469024768.2297,63.47756082045165,55.7075976693463,44.92551863381304,27.633529398618606
2015Q1,1238999999999.9978,1434564220548.169,64.62201040070151,57.09552307614552,46.65130608114507,29.901170300059054
2015Q2,1212057000000.0007,1443442052692.4968,65.60419098626338,58.286657585075694,48.13239791326039,31.847287374027978
2015Q3,1216781000000.001,1294152146776.221,61.486860656787876,53.29338617226567,41.92361674740347,23.689106514875146
2015Q4,1220834000000.0017,1453109724926.4524,65.58561246255643,58.26412657495632,48.10438218975737,31.81047542444687
2016Q1,1236498999999.9983,1313014934150.314,61.42499934075699,53.21836417592872,41.830332181159626,23.56653296260214
2016Q2,1248089000000.0002,1222065347121.0015,58.16565587108433,49.26561196289004,36.91536332313743,17.108388636087646
2016Q3,1255578999999.999,1144902430065.5264,55.078173656594664,45.5212836128413,32.25955485277755,10.990774480889876
2016Q4,1267836999999.9998,1261624436356.3843,58.836227616404415,50.07884443592591,37.926560601357636,18.43707619321545
2017Q1,1268374000000.002,1297921459475.3318,59.97044552952855,51.454361440465405,39.63691907480072,20.684443814587794
2017Q2,1274370000000.0012,1240530842150.126,57.92057357518421,48.96838965523522,36.54578832645178,16.62277647108453
2017Q3,1285293000000.0015,1226016422549.351,57.057463535091216,47.92165734462785,35.24425045308078,14.912588741423704
2017Q4,1298154000000.0017,1374685682603.7124,61.31838083570689,53.08906312628208,41.669555436736694,23.35527640130457
2018Q1,1306924000000.0022,1345554766224.7832,60.21395286490527,51.74967372275707,40.00411908953153,21.166935313584602
2018Q2,1319063000000.0022,1337184857206.1472,59.59306332014498,50.99669308572399,39.06784072391489,19.93668930600796
2018Q3,1333456999999.9985,1254550128606.9146,56.46156294025679,47.198981929502196,34.345654495539,13.73185646159344
2018Q4,1345567000000.0015,1401263018410.9688,60.66605505810549,52.29795835778246,40.68587239994462,22.062741859040212
2019Q1,1362368999999.9993,1258874445618.871,55.67036314115105,46.23945839785516,33.15255459389878,12.164153474388051
2019Q2,1376312999999.9993,1314197946962.2249,57.10187937467344,47.97552242814428,35.311227888991056,15.000595392172356
2019Q3,1367118000000.0012,1221157143577.0444,54.141875871887216,44.38579323724817,30.847652579669006,9.135570731269771
2019Q4,1368944999999.9985,1298132792441.4646,56.803484290154756,47.6136453072867,34.8612591877963,14.409347940016692
2020Q1,1380661000000.001,1257879271302.485,55.03962391177304,45.47453260590583,32.2014232698235,10.914391056398143
2020Q2,1252647000000.0017,1223145925725.7554,58.04997074276993,49.125315412000205,36.74091444768378,16.879167241645042
2020Q3,1305081999999.999,1188624621097.3596,55.02461224514133,45.456327283560384,32.178786234270675,10.884646566260425
2020Q4,1330898999999.9976,1282344257043.0415,57.48694584008525,48.44250982529527,35.89189381247466,15.763575677027086
2021Q1,1336875999999.9985,1110241069633.3203,50.6762966986134,40.18292972375828,25.621687942882275,2.268785845228649
2021Q2,1354415000000.0,1175948956547.4912,52.82139207300042,42.784383227257514,28.856412070824057,6.519131244795052
2021Q3,1361963999999.999,1096725504956.0906,49.13143066620975,38.30940130146988,23.29208736235714,-0.7922501870967658
2021Q4,1397594000000.0022,1241844660697.8718,53.90056617909127,44.09314613481726,30.483766528301103,8.657433696016003
